name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Más allá del jardín,"Nov. 16, 2007",Cartoon Network,15m,"May. 10, 2010",Animacion,9.3,88
Hi Hi Puffy AmiYumi,"Sep. 17, 2005",Kids' WB,11m,"Jun. 18, 2014",Animacion,9.3,87
Angela Anaconda,"Apr. 02, 1979",TV Asahi,11m,"Jun. 24, 2005",Action & Adventure,9.1,87
Naruto Shippuden,"Jul. 29, 2011",Cartoon Network,30m,"Jun. 16, 2012",Action & Adventure,8.9,87
Chuunibyou demo Koi ga Shitai!,"Nov. 08, 2014",Cartoon NetworkBoomerang,11m,"Nov. 11, 2017",Action & Adventure,9.1,87
El laboratorio de Dexter,"Oct. 25, 2008",YTV,30m,"Jun. 04, 2011",Action & Adventure,8.9,87
Steven Universe,"Oct. 10, 1992",Fuji Television,23m,"Dec. 17, 1994",Action & Adventure,9.5,86
Owarimonogatari,"Feb. 23, 1995",Cartoon Network,30m,"Nov. 20, 2003",Animacion,9.3,86
Las Maravillosas Desventuras de Flapjack,"Aug. 13, 2004",Cartoon Network,30m,"May. 03, 2009",Animacion,9.5,86
Zoids,"Jul. 09, 2015",Asahi Broadcasting Corporation,24m,"Dec. 19, 2017",Amigas,9.1,85
Inspector Gadget,"Jan. 07, 2019",Amazon,24m,"Jun. 24, 2019",Action & Adventure,8.9,84
Grandes héroes: La serie,"Nov. 04, 2000",Kids' WB,22m,"Oct. 25, 2003",Action & Adventure,9.3,83
Randy Cunningham: Ninja Total,"Sep. 21, 2014",Adult Swim,15m,"Mar. 25, 2018",Animacion,8.9,83
El Manual De Supervivencia Escolar de Ned,"Oct. 10, 2001",Fuji Television,25m,"Jan. 16, 2002",Action & Adventure,9.5,80
La Robot Adolescente,"Apr. 20, 2018",Netflix,15m,"Apr. 20, 2018",Animacion,9.3,79
El show de la pequeña Lulu,"Jan. 10, 1999",Kids' WB,24m,"Jul. 23, 2005",Action & Adventure,9.6,78
Chuukan Kanriroku Tonegawa,"Nov. 15, 2013",TV Tokyo,25m,"Nov. 22, 2013",Action & Adventure,9,77
Mighty B! la súper abeja,"Mar. 03, 2007",Nickelodeon,30m,"Jan. 25, 2008",Action & Adventure,9.4,77
Tom y Jerry,"Apr. 12, 2003",Nickelodeon,30m,"Aug. 17, 2008",Animacion,9.2,76
Aaahh!!! Monstruos de Verdad,"Jul. 14, 1997",Teletoon,7m,"Aug. 27, 2004",Animacion,9.1,76
Shaman King,"May. 01, 2018",,11m,"May. 14, 2016",Animacion,7.2,76
Los Vengadores: Los héroes más poderosos del planeta,"Sep. 18, 1993",Nickelodeon,25m,"Nov. 24, 1996",Animacion,9.5,75
"¿Qué hay de nuevo, Scooby-Doo?","Feb. 24, 2017",Netflix,25m,"Feb. 24, 2017",Animacion,8.7,75
Los supersónicos,"Aug. 01, 2003",Nickelodeon,30m,"May. 02, 2009",Action & Adventure,9.3,75
Infinity Train,"Sep. 09, 2016",,23m,"Sep. 09, 2017",Animacion,9.5,74
Rocket Power,"Oct. 13, 2014",Disney XD,25m,"Mar. 25, 2017",Accion,9.1,73
Ben 10: Fuerza Alienígena,"Jul. 04, 2001",,23m,"Sep. 25, 2002",Animacion,9.8,72
Los Megabebés (Super Bebés),"Apr. 03, 2015",Mainichi Broadcasting System,24m,"Sep. 24, 2016",Animacion,9.6,72
Rugrats: Aventuras en pañales,"Dec. 03, 1972",Fuji TV,30m,"Sep. 01, 1974",Action & Adventure,9.5,71
Drama Total: Isla del drama,"Apr. 17, 2011",TBS,24m,"Mar. 24, 2017",Animacion,9.5,71
BoJack Horseman,"Oct. 05, 2016",,24m,"Mar. 21, 2017",Animacion,8.3,70
Ranma ½,"Nov. 01, 2003",Kids' WB,30m,"May. 13, 2006",Action & Adventure,9.4,69
The Backyardigans,"Oct. 07, 2006",TV Tokyo,25m,"Sep. 29, 2007",Action & Adventure,9.4,69
Death Parade,"Jan. 02, 2008",Cartoon Network,30m,"Aug. 11, 2010",Animacion,9.7,68
Star vs. las fuerzas del mal,"Jul. 07, 2018",,23m,"Sep. 23, 2018",Animacion,8.9,67
Merc Storia: Mukiryoku no Shounen to Bin no Naka no Shoujo,"Oct. 13, 2006",YTV,23m,"Apr. 29, 2007",Animacion,8.3,67
Hazbin Hotel,"Oct. 01, 2003",Rede Globo,30m,"Oct. 01, 2005",Action & Adventure,9.1,67
Gegege no Kitarou,"Jun. 25, 2017",Disney Channel,22m,"Jun. 25, 2018",Animacion,7.9,67
Padre de familia,"Mar. 04, 1985",Cartoon Network,"25,30m","Jun. 28, 1985",Animacion,9.2,67
Cardcaptor Sakura: Clear Card-hen,"Jan. 08, 2001",TV Tokyo,30m,"Dec. 23, 2012",Action & Adventure,9.5,66
High Score Girl,"Oct. 04, 2018",Asahi Broadcasting Corporation,25m,"Nov. 22, 2018",Animacion,9.3,66
Garfield y sus amigos,"Jan. 08, 1996",Yomiuri Telecasting Corporation,25m,"Jul. 28, 2018",Animacion,9.3,66
Claymore,"Jan. 11, 2011",Tokyo Metropolitan Television,25m,"Jun. 07, 2012",Animacion,8.5,66
Gintama,"Oct. 02, 2008",TV TokyoTV Osaka,24m,"Mar. 26, 2009",Animacion,9.4,65
Franklin y sus amigos,"Mar. 30, 2019",Cartoon Network,11m,"May. 25, 2019",Action & Adventure,8.4,64
"¡Buena suerte, Charlie!","Jan. 08, 2016",Fuji TV,25m,"Mar. 25, 2016",Animacion,9.4,64
Los Vengadores unidos,"Apr. 07, 2016",Tokyo Metropolitan Television,25m,"Dec. 16, 2016",Action & Adventure,9.5,64
Code Lyoko,"Nov. 14, 2008",Cartoon Network,22m,"Nov. 18, 2011",Action & Adventure,9.2,63
Mushishi,"Sep. 10, 1987",CBS,22m,"Nov. 02, 1996",Action & Adventure,9.4,63
Paradise Police,"Aug. 31, 2018",Netflix,28m,"Aug. 31, 2018",Animacion,8.8,62
"Dave, el Bárbaro","Sep. 13, 1997",ABC,22m,"Nov. 04, 2001",Animacion,9.5,62
Tensei shitara Slime Datta Ken,"Sep. 06, 1996",The WB,21m,"Feb. 12, 2000",Action & Adventure,9,62
Batman: La serie animada,"Sep. 04, 1999",Cartoon Network,30m,"Dec. 23, 2000",Action & Adventure,9.6,62
Mr. Bean Animado,"Oct. 06, 2004",TV Tokyo,30m,"Mar. 26, 2008",Action & Adventure,9.6,62
Your Lie in April,"Jul. 04, 2016",,23m,"Sep. 26, 2016",Animacion,9.1,62
Bob Esponja,"Aug. 17, 2002",Kids' WB,30m,"Feb. 26, 2005",Animacion,9.1,61
Hombres de Negro: La serie animada,"Nov. 08, 2012",VRV,12m,"May. 18, 2018",Action & Adventure,9.5,59
Amphibia,"Sep. 23, 2006",Kids' WB,30m,"Apr. 05, 2008",Animacion,8.8,58
Mr. Robot,"May. 25, 2013",Nickelodeon,11m,"May. 17, 2015",Animacion,8.2,58
Pucca,"Apr. 05, 2009",Fuji TV,26m,"Jun. 28, 2015",Action & Adventure,8.9,58
Yo-Kai Watch,"Apr. 05, 2016",,24m,"Jun. 21, 2016",Accion,9.2,58
Los Thornberrys,"Oct. 30, 1994",Nickelodeon,30m,"Dec. 06, 1997",Animacion,9.5,57
Yu-Gi-Oh!,"Jun. 26, 2018",Netflix,24m,"Sep. 24, 2018",Action & Adventure,9.7,57
El nuevo show del Pájaro Loco,"Jul. 07, 2015",AT-X,25m,"Sep. 25, 2018",Animacion,9.8,56
Star Wars Rebels,"Jan. 11, 2013",,23m,"Mar. 28, 2013",Animacion,9.2,55
Code Geass: Lelouch of the Rebellion,"Aug. 28, 2009",Teletoon,30m,"Jul. 16, 2011",Animacion,9.7,55
Mahō Tsukai no Yome: La novia del mago,"Jul. 08, 2005",Cartoon Network,30m,"Mar. 27, 2008",Animacion,9.1,54
Bloodivores,"Aug. 08, 2000",ABC,30m,"Jan. 13, 2001",Action & Adventure,8.3,54
Soukyuu no Fafner: Dead Aggressor,"Apr. 08, 2006",Tokyo Metropolitan Television,25m,"Jun. 22, 2011",Action & Adventure,8.1,54
Eureka Siete: Salmos de los planetas,"Apr. 03, 2007",Fuji TVNippon TVNitteleplus,23m,"Sep. 25, 2007",Action & Adventure,9.5,54
Kick Buttowski: Medio doble de riesgo,"Jul. 13, 2013",Cartoon Network,22m,"Nov. 02, 2014",Accion,8.3,53
Wolfs Rain,"Oct. 06, 2001",CBC,30m,"Dec. 09, 2006",Action & Adventure,9.1,53
Catscratch,"Jul. 04, 2007",Television Kanagawa,25m,"Sep. 27, 2007",Animacion,9.2,53
Ugly Americans,"Mar. 25, 2013",,22m,"Jun. 14, 2014",Accion,8.5,53
No Game No Life,"Apr. 08, 2016",Fuji Television,22m,"Jul. 01, 2016",Action & Adventure,9.4,52
Los Misterios de Moville,"Nov. 19, 2004",Cartoon Network,30m,"Jun. 27, 2006",Animacion,9.1,50
Los siete pecados capitales,"Oct. 06, 2016",TV Asahi,24m,"Dec. 22, 2016",Animacion,9.5,50
El campamento de Lazlo,"Aug. 12, 1995",CBS,30m,"Aug. 30, 1997",Action & Adventure,9.3,50
Mazinger Z,"Jul. 20, 2018",Nickelodeon,"11,22m","Apr. 20, 2019",Action & Adventure,8.2,49
Ginger,"Feb. 07, 1999",TV Asahi,25m,"Dec. 11, 2004",Animacion,9.1,48
Aventuras de una mosca,"Sep. 14, 2002",Kids' WB,30m,"Jul. 05, 2004",Animacion,9.3,48
Spiderman: La serie animada,"Oct. 06, 1984",TV TokyoBroadcast Syndication,25m,"Nov. 11, 1987",Action & Adventure,9.3,48
The Owl House,"Jan. 06, 2006",Nicktoons,30m,"Sep. 06, 2008",Action & Adventure,9.2,47
Martin Mystery,"Aug. 16, 1999",Nickelodeon,30m,"Jul. 30, 2004",Animacion,9.2,46
Las Tortugas Ninja: Avance Rápido,"Oct. 07, 2018",AT-X,24m,"Dec. 08, 2018",Action & Adventure,9.4,46
The Prince of Tennis,"May. 20, 2004",Fuji Television,24m,"Mar. 19, 2005",Action & Adventure,9.3,46
Winx Club,"Apr. 04, 2006",TV Tokyo,24m,"Mar. 27, 2017",Action & Adventure,9.9,46
Bakugan,"Apr. 15, 2011",Fuji TelevisionTōkai Television BroadcastingBS FujiNoitaminaKansai Telecasting Corporation,25m,"Jun. 23, 2011",Animacion,9.8,46
Trollhunters,"Jan. 23, 2004",Disney Channel,30m,"Jan. 22, 2005",Animacion,9.4,45
Samurai Jack,"Sep. 10, 1988",American Broadcasting Company,30m,"Aug. 31, 1991",Animacion,9.4,45
Mad,"Sep. 17, 2005",The WB Television Network,30m,"May. 05, 2007",Action & Adventure,9.5,45
Un show más,"Sep. 22, 1992",MTV,11m,"Dec. 29, 2011",Animacion,9,45
Titán Sim-Biónico,"Nov. 03, 2001",ABC Family,22m,"Feb. 27, 2014",Animacion,9.6,45
Megas XLR,"Oct. 04, 2005",MBS TVAnimaxAT-XTokyo MX,25m,"Mar. 28, 2006",Animacion,9.4,45
Dragon Ball Kai,"Jan. 06, 2013",YTVTV AichiTokyo MXBS11,24m,"Jun. 29, 2014",Animacion,9.3,45
Kuromukuro,"Mar. 01, 1998",Nickelodeon,30m,"Aug. 31, 2002",Animacion,9.3,45
Ozzy & Drix,"Sep. 09, 1995",The WB Television Network,30m,"Nov. 04, 1998",Animacion,9.3,44
Johnny Test,"Sep. 23, 1962",American Broadcasting Company,30m,"Mar. 10, 2002",Animacion,9.1,44
Galaxia Wander,"Aug. 23, 2003",Cartoon Network,22m,"Nov. 11, 2005",Animacion,9.4,44
Digimon Frontier,"Apr. 09, 2005",ANIMAXNHK BS1,25m,"May. 15, 2009",Animacion,9,44
Sonic X,"Oct. 08, 2005",Tokyo Broadcasting System Television,30m,"Sep. 23, 2006",Action & Adventure,9.4,44
Paranoia Agent,"Feb. 10, 2006",Adult SwimStarz,45m,"Dec. 26, 2012",Action & Adventure,9.3,44
Betty Atómica,"Sep. 09, 2006",Discovery Kids,22m,"Jun. 21, 2008",Animacion,8.9,44
Creepie,"Jan. 11, 2009",Cartoon Network,22m,"Dec. 10, 2009",Action & Adventure,9.2,44
Pokémon: los orígenes,"Oct. 02, 2006",Toon Disney,30m,"Apr. 18, 2009",Action & Adventure,8.6,43
Yin Yang Yo!,"Sep. 23, 2006",The CW,"30,22,23m","Mar. 22, 2008",Animacion,9.3,43
Aggretsuko,"Sep. 13, 1986",ABC,25m,"Oct. 05, 1991",Action & Adventure,9,43
OK K.O.! Seamos Héroes,"Jan. 16, 2016",Tokyo Broadcasting System Television,24m,"Dec. 23, 2016",Animacion,9.5,43
El Show de Ren y Stimpy,"Oct. 11, 1997",Kids' WB,30m,"Jun. 30, 2001",Action & Adventure,9.2,43
Super Once (Inazuma Eleven),"Oct. 04, 2012",Tokyo Metropolitan Television,24m,"Dec. 20, 2012",Action & Adventure,8.7,43
Kotoura-san,"Sep. 03, 2003",France 3,30m,"Feb. 09, 2013",Action & Adventure,9.2,42
Mysticons,"Aug. 11, 1991",ABC,24m,"Sep. 14, 2000",Animacion,9.1,41
My Little Pony 1986,"Sep. 16, 1996",YTV,30m,"May. 07, 1999",Action & Adventure,9,41
Serial Experiment Lain,"Oct. 12, 2012",Fuji TV,23m,"Dec. 19, 2014",Action & Adventure,8.8,41
Un cachorro llamado Scooby-Doo,"Oct. 23, 2005",Fuji TV,25m,"Aug. 20, 2014",Animacion,9.1,39
El joven Sheldon,"Apr. 08, 2008",TV Tokyo,30m,"Dec. 30, 2008",Action & Adventure,9.4,39
Los caballeros del Zodiaco,"Oct. 07, 1997",Nippon TV,25m,"Mar. 31, 1998",Action & Adventure,9.8,39
Eek! El Gato,"May. 08, 1999",FOX,21m,"May. 08, 1999",Animacion,9.1,39
Marvel Knights. Thor & Loki: Hermanos de sangre,"Jul. 03, 2013",,24m,"Sep. 25, 2013",Animacion,8.6,39
UCHUU SENKAN TIRAMISÙ,"Sep. 23, 2000",The WB Television Network,22m,"May. 22, 2004",Action & Adventure,8.7,38
Scooby Doo Misterios S.A.,"Jul. 11, 2016",Tokyo Metropolitan Television,24m,"Sep. 27, 2016",Action & Adventure,9.7,38
Mona La vampira,"Sep. 17, 1983",NBC,30m,"Dec. 01, 1990",Animacion,8.9,38
Tiny Toons,"Jul. 06, 1998",TV Tokyo,23m,"Sep. 28, 1998",Animacion,9,38
Hellsing Ultimate,"Sep. 29, 2007",Nickelodeon,22m,"Nov. 12, 2011",Animacion,8.5,38
Daria,"Nov. 13, 2018",Netflix,24m,"Aug. 02, 2019",Animacion,8.8,37
Pilotos de dragón: Hisone to Masotan,"Sep. 08, 1986",,22m,"Dec. 05, 1986",Action & Adventure,9,37
"El avatar, la leyenda de Aang","Sep. 05, 2015",Disney XD,22m,"Dec. 03, 2017",Action & Adventure,8.8,37
El Mago de Oz,"Apr. 20, 1997",Nickelodeon,30m,"Sep. 03, 2006",Animacion,8.4,37
Los Castores Cascarrabias,"Apr. 03, 2010",Tulip Television,24m,"Jun. 25, 2010",Action & Adventure,8.6,37
Angel Beats!,"Jan. 08, 2002",Fuji TVWOWOWAT-X,25m,"Jul. 18, 2018",Animacion,9.9,37
Toonsylvania,"Dec. 03, 2012",Fuji Television,24m,"Feb. 25, 2013",Action & Adventure,9.5,36
Las chicas superpoderosas,"Apr. 26, 2008",Nickelodeon,22m,"Jun. 12, 2009",Animacion,6.6,35
Billy Dilley,"Jul. 24, 2017",Nickelodeon,20m,"Nov. 03, 2017",Adolescentes,7.9,35
Mirai Nikki,"Apr. 09, 2014",AT-X,25m,"Jun. 25, 2014",Action & Adventure,9.7,35
Btooom,"Oct. 10, 2014",Fuji TV,22m,"Mar. 20, 2015",Animacion,9.8,35
Mr. Pickles,"Jul. 04, 2016",AT-X,24m,"Aug. 09, 2017",Animacion,8.2,34
Rewrite,"Sep. 27, 1961",American Broadcasting Company,24m,"Apr. 18, 1962",Animacion,8.6,34
Asobi Asobase,"Jul. 06, 2018",Fuji TV,23m,"Sep. 21, 2018",Action & Adventure,8.6,33
Sakura Card Captor,"Sep. 01, 1998",Nickelodeon,22m,"Jun. 11, 2004",Animacion,9.2,33
Ajin: Semi humano,"Feb. 25, 2000",The WB,23m,"Jan. 15, 2002",Accion,9.6,33
Digimon Universe: Appli Monsters,"Jun. 02, 2001",Teletoon,30m,"Jan. 01, 2006",Animacion,9.2,33
Buzz Lightyear: Comando estelar,"Sep. 09, 1995",The WB Television Network,30m,"Jun. 01, 1997",Animacion,9.4,33
Food Wars! Shokugeki no Soma,"May. 01, 2004",Cartoon Network,26m,"Jun. 07, 2004",Action & Adventure,9.4,33
Fairy gone,"Jan. 10, 2020",Disney Channel,22m,"Jan. 10, 2020",Action & Adventure,9.4,32
Las tortugas ninja (2012),"Aug. 28, 2017",,22m,"Sep. 07, 2018",Action & Adventure,7.5,32
Hellsing,"Aug. 16, 2002",Cartoon Network,30m,"Jan. 10, 2004",Action & Adventure,8.8,32
Candy Candy,"Sep. 14, 1990",Fox Broadcasting Company,30m,"Apr. 17, 1994",Animacion,9.6,32
Samurai Champloo,"Oct. 05, 2006",MBS TV,25m,"Sep. 28, 2008",Action & Adventure,9,32
Teen Titans Go!,"Jan. 10, 2016",TV Tokyo,24m,"Nov. 21, 2017",Action & Adventure,8.1,32
Fate/Stay Night,"Aug. 01, 2007",,22m,"Jan. 07, 2008",Action & Adventure,9.4,31
Sanjay y Craig,"Jan. 27, 2001",The WB Television Network,30m,"Aug. 17, 2002",Action & Adventure,8.7,30
Steven Universe Future,"Jul. 09, 2016",TBSBS-TBSMBS,24m,"Oct. 01, 2016",Animacion,8.8,30
Dororo (2019),"Oct. 07, 2016",Tokyo MX,24m,"Dec. 23, 2016",Animacion,6.9,30
Mermaid Melody Pichi Pichi Pitch,"Nov. 01, 2005",Cartoon Network,30m,"Sep. 27, 2008",Animacion,9.6,30
Black Lagoon,"Jan. 07, 2009",Russia-1,7m,"Oct. 12, 2018",Animacion,9,30
El edificio Wayne,"Jan. 23, 1999",,5m,"Dec. 23, 1999",Animacion,9.1,29
Beavis y Butt-Head,"Sep. 15, 1986",,15m,"Sep. 25, 1987",Adventure,8.3,29
El Show de Charlie Brown y Snoopy,"Sep. 11, 1992",Disney Channel,22m,"Nov. 26, 1994",Animacion,9.2,29
Robotech,"Jul. 14, 2018",,23m,"Sep. 22, 2018",Animacion,6.8,28
La vaca y el pollito,"Jul. 14, 2018",,25m,"Sep. 22, 2018",Animacion,8.5,28
Akanesasu Shoujo,"Aug. 30, 1999",TBSAnimax,30m,"Oct. 07, 2001",Action & Adventure,8.7,28
Digimon Tamers,"Oct. 01, 1980",Nippon TV,24m,"Dec. 23, 1981",Action & Adventure,8.3,28
Neon Genesis Evangelion,"Sep. 17, 1983",CBS,23m,"Oct. 12, 1985",Animacion,9.2,28
Guerreros Valientes,"Apr. 06, 2004",Nippon TV,25m,"Sep. 27, 2005",Animacion,9.6,28
La vida y obra de Juniper Lee,"Apr. 07, 2007",MBS TVTBSCBC,24m,"Sep. 29, 2007",Animacion,9.4,28
Rick y Morty,"Apr. 09, 2016",Tokyo Broadcasting System Television,25m,"Jun. 25, 2016",Animacion,9.2,28
Bajoterra / Slugterra,"Sep. 10, 1983",ABC Family,30m,"Feb. 01, 1986",Animacion,8.4,27
Doraemon,"Sep. 06, 1988",ITV,22m,"Feb. 16, 1993",Animacion,9.7,27
Astroboy 1980,"Sep. 18, 1987",Disney ChannelBroadcast Syndication,22m,"Nov. 28, 1990",Animacion,9.6,27
Super Campeones (Capitán Tsubasa),"Nov. 11, 1995",HBO,30m,"Feb. 21, 1999",Animacion,8,27
Soy la comadreja,"Jun. 10, 2010",Teletoon,22m,"Apr. 24, 2011",Action & Adventure,9.5,27
Escalofríos,"Jul. 01, 2018",AT-XTokyo MXBS11,24m,"Sep. 23, 2018",Animacion,8.5,26
¡Fenomenoide!,"Sep. 17, 1988",NBC,30m,"Oct. 29, 1994",Animacion,9,26
Drama Total: Gira Mundial,"Jan. 25, 2002",ITV,20m,"Feb. 25, 2015",Animacion,7.8,26
Zatch Bell,"Jul. 06, 2018",AT-X,23m,"Sep. 21, 2018",Action & Adventure,9.7,25
Grotescología,"Jul. 04, 1998",Teletoon,30m,"Sep. 27, 1998",Animacion,7.9,25
Justicia Joven,"Oct. 01, 2016",,24m,"Dec. 17, 2016",Action & Adventure,8.9,25
Transformers,"Sep. 08, 1996",UPN,30m,"Nov. 23, 1997",Accion,8.8,25
Dinoplatívolos,"Jul. 15, 1997",Cartoon Network,30m,"Sep. 16, 1999",Animacion,8.6,25
Locos 16,"Jun. 09, 2007",WOWOW,25m,"Dec. 08, 2007",Action & Adventure,8.8,25
Kid Músculo: El Legado Kinnikuman,"Oct. 11, 2004",Treehouse TV,25m,"May. 03, 2010",Animacion,9.6,24
Monster,"Dec. 26, 2005",Cartoon Network,30m,"Sep. 17, 2007",Animacion,9.6,24
Shuriken School,"Apr. 07, 2008",TV Tokyo,25m,"Mar. 30, 2009",Action & Adventure,10,24
Lovely Complex,"Apr. 06, 2011",Teletama,24m,"Aug. 23, 2018",Action & Adventure,10,24
Hunter × Hunter,"Jul. 11, 2014",Fuji Television,22m,"Sep. 26, 2014",Animacion,8.8,24
Ben 10: Omniverse,"Jan. 10, 2015",Nippon TV,25m,"Mar. 28, 2015",Animacion,9.8,24
Bakugan: Battle Planet,"Feb. 13, 2012",Treehouse TV,22m,"Nov. 25, 2011",Animacion,8.5,23
Los verdaderos Cazafantasmas,"Jul. 12, 2018",AT-XTokyo MXBS11Tulip Television,23m,"Sep. 20, 2018",Action & Adventure,8.7,23
Happy Sugar Life,"Oct. 02, 2018",,24m,"Oct. 01, 2018",Action & Adventure,8.3,23
Ben 10 Reboot,"Jan. 09, 2001",Animax,26m,"Mar. 27, 2001",Animacion,8.8,23
Fullmetal Alchemist: Brotherhood,"Jul. 14, 2018",Tokyo MX,23m,"Sep. 22, 2018",Action & Adventure,9.3,22
91 Dias,"Oct. 04, 1999",Teletoon,30m,"Dec. 10, 2001",Animacion,5.9,22
Jacobo Dos Dos,"May. 30, 2005",Cartoon Network,22m,"Apr. 09, 2007",Action & Adventure,9.3,22
Hataraku Saibou,"Jul. 08, 2018",,23m,"Sep. 23, 2018",Animacion,9,21
El increíble Hulk 1982,"Sep. 03, 1990",TV Tokyo,30m,"Nov. 13, 1990",Action & Adventure,9.4,21
Los Gatos Samurai,"Apr. 02, 1998",TV Tokyo,24m,"Oct. 01, 1998",Action & Adventure,9.2,21
Astroboy 2003,"Jan. 07, 2006",Teletama,25m,"Jun. 17, 2006",Action & Adventure,8.9,21
Kore wa Zombie Desu ka,"Oct. 04, 2013",TBS,24m,"Sep. 03, 2014",Action & Adventure,9.1,21
Yami Shibai,"Apr. 01, 2016",,25m,"Jun. 17, 2016",Animacion,7.4,21
Nobunaga no Shinobi,"Sep. 03, 2001",UPN,30m,"Feb. 05, 2003",Action & Adventure,9.1,20
Ben 10: Supremacía Alienígena,"Apr. 02, 2002",AnimaxFunimation Channel,25m,"Sep. 24, 2002",Action & Adventure,9.5,20
Shingeki no Kyojin,"Oct. 11, 2018",AT-X,23m,"Nov. 22, 2018",Action & Adventure,7.2,19
Patoaventuras 2017,"Jan. 07, 2018",NHK BS1,25m,"Jun. 10, 2018",Action & Adventure,9.9,19
Totally Spies!,"May. 09, 2005",Nickelodeon,30m,"Oct. 13, 2006",Animacion,9.1,19
Yuri!!! on Ice,"Sep. 01, 1994",Broadcast syndication,30m,"Jan. 26, 1995",Action & Adventure,9.3,18
Los Simpson,"Jan. 05, 1999",ABC Family,30m,"Jan. 22, 1999",Animacion,6.4,18
Generador Rex,"Apr. 07, 2002",,30m,"Mar. 30, 2003",Action & Adventure,9.1,18
Zankyou no Terror,"Jul. 02, 2016",Tokyo Metropolitan TelevisionBS11BilibiliDAISUKIMBS TV,24m,"Mar. 25, 2017",Action & Adventure,8.6,18
Pokémon,"Oct. 11, 2018",BS11,24m,"Nov. 22, 2018",Action & Adventure,8.9,17
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai.,"Jul. 15, 2013",TV Tokyo,4m,"Sep. 21, 2018",Animacion,8.4,17
Love Live! School Idol Project,"Oct. 03, 2015",,24m,"Aug. 13, 2017",Animacion,7.5,17
Clarence,"Jul. 01, 2016",WOWOW,24m,"Jun. 23, 2017",Action & Adventure,8.2,17
La sirenita,"Oct. 01, 1998",TV Tokyo,30m,"Dec. 17, 2000",Animacion,9.4,16
Knights of Sidonia,"May. 30, 2016",Disney XDTeletoon,15m,"Jul. 29, 2016",Animacion,8.8,16
Kimetsu no Yaiba,"Apr. 10, 2019",,23m,"Jul. 03, 2019",Action & Adventure,9.4,15
Naruto,"Feb. 11, 2006",Nickelodeon,25m,"Nov. 11, 2006",Action & Adventure,7.9,15
School Days,"Mar. 28, 2011",,68m,"Apr. 20, 2011",Accion,7.5,15
Soul Eater Not!,"Apr. 08, 2016",,24m,"Sep. 30, 2016",Animacion,9.1,15
Lilo y Stitch,"Dec. 21, 2018",Netflix,24m,"Jul. 12, 2019",Animacion,9.2,14
Las Leyendas,"Apr. 13, 2018",BS Fuji,24m,"Jun. 25, 2018",Amigos,7.9,14
