name_serie,release_date,channel,runtime,end_date,genre,rating,votes
"Iron Man, La serie animada de 1994","Oct. 04, 2016",,3m,"May. 11, 2018",Action & Adventure,10,4
La máscara,"Sep. 12, 1987",Rede Globo,30m,"Dec. 03, 1988",Action & Adventure,7,3
Victor y Valentino,"Apr. 08, 2019",AT-X,24m,"Dec. 22, 2019",Action & Adventure,10,1
El increíble Hulk 1996,"Apr. 24, 2004",Animax,24m,"Oct. 16, 2004",Action & Adventure,0,0
Los padrinos mágicos,,,,,,,
Inuyasha,,,,,,,
Dragon Ball,,,,,,,
Dragon Ball Z,,,,,,,
Animaniacs,,,,,,,
CatDog,,,,,,,
Dragon Ball Super,,,,,,,
"Coraje, el perro cobarde",,,,,,,
KND: Los chicos del barrio,,,,,,,
Ben 10,,,,,,,
Don Gato y su pandilla,,,,,,,
Los Picapiedra,,,,,,,
Invasor Zim,,,,,,,
Jóvenes Titanes,,,,,,,
Liga De La Justicia,,,,,,,
Kim Possible,,,,,,,
Phineas y Ferb,,,,,,,
Liga de la Justicia Ilimitada,,,,,,,
"Ed, Edd y Eddy",,,,,,,
Mansión Foster para amigos imaginarios,,,,,,,
Kid vs. Kat,,,,,,,
"¡Oye, Arnold!",,,,,,,
Las aventuras de Jackie Chan,,,,,,,
Penn Zero: Casi Héroe,,,,,,,
Medabots,,,,,,,
Dragones,,,,,,,
Samurái X,,,,,,,
Prodigiosa. Las Aventuras de Ladybug,,,,,,,
Los pingüinos de Madagascar,,,,,,,
