name_serie,release_date,channel,runtime,end_date,genre,rating,votes
Paranoia Agent,"Jun. 09, 2007",WOWOW,25m,"Dec. 08, 2007",Action & Adventure,8.8,25
Mermaid Melody Pichi Pichi Pitch,"Aug. 01, 2007",,22m,"Jan. 07, 2008",Action & Adventure,9.4,31
La casa de los dibujos,"Sep. 29, 2007",Nickelodeon,22m,"Nov. 12, 2011",Animacion,8.5,38
Locos 16,"Jul. 08, 2007",Cartoon Network,22m,"Jan. 04, 2008",Action & Adventure,9.5,115
Yu-Gi-Oh! GX,"Oct. 02, 2008",TV TokyoTV Osaka,24m,"Mar. 26, 2009",Animacion,9.4,65
Bleach,"Jan. 07, 2009",Russia-1,7m,"Oct. 12, 2018",Animacion,9,30
Tsubasa Chronicles (Crónicas de Sakura),"Apr. 04, 2006",TV Tokyo,24m,"Mar. 27, 2017",Action & Adventure,9.9,46
Samurai Champloo,"Jul. 04, 2007",Television Kanagawa,25m,"Sep. 27, 2007",Animacion,9.2,53
The Venture Bros.,"Oct. 05, 2008",TV Tokyo,24m,"Mar. 19, 2014",Animacion,9.5,127
The Backyardigans,"Oct. 04, 2007",TBS,24m,"Jul. 01, 2009",Animacion,9.7,11
Loonatics,"Aug. 28, 2009",Teletoon,30m,"Jul. 16, 2011",Animacion,9.7,55
Jigoku Shoujo: Hell Girl,"Apr. 07, 2008",TV Tokyo,25m,"Mar. 30, 2009",Action & Adventure,10,25
La vida y obra de Juniper Lee,"Apr. 05, 2009",Fuji TV,26m,"Jun. 28, 2015",Action & Adventure,8.9,58
Robotboy,"Mar. 17, 2010",Comedy Central,30m,"Apr. 25, 2012",Animacion,9.6,89
Catscratch,"Oct. 15, 2012",Disney XD,22m,"May. 13, 2015",Action & Adventure,9.5,239
Mi compañero de clase es un mono,"Jan. 11, 2009",Cartoon Network,22m,"Dec. 10, 2009",Action & Adventure,9.2,45
Eureka Siete: Salmos de los planetas,"Oct. 12, 2009",TV Tokyo,25m,"Jan. 06, 2019",Action & Adventure,9.7,228
Hellsing Ultimate,"Apr. 03, 2009",TV Tokyo,25m,"Sep. 26, 2009",Animacion,7.7,12
Blood+,"Oct. 03, 2009",,30m,"Dec. 19, 2009",Action & Adventure,8.9,7
Las Chicas Superpoderosas Z,"Nov. 08, 2012",VRV,12m,"May. 18, 2018",Action & Adventure,9.5,59
Claymore,"Mar. 25, 2013",,22m,"Jun. 14, 2014",Accion,8.5,53
Black Lagoon,"Oct. 12, 2012",Fuji TV,23m,"Dec. 19, 2014",Action & Adventure,8.8,41
Bakugan,"Dec. 03, 2012",Fuji Television,24m,"Feb. 25, 2013",Action & Adventure,9.5,36
Fate/Stay Night,"Apr. 23, 2013",Cartoon Network,11m,"Jul. 20, 2018",Action & Adventure,8.6,137
Shuriken School,"Jul. 13, 2013",Cartoon Network,22m,"Nov. 02, 2014",Accion,8.3,53
Lovely Complex,"Jan. 06, 2013",YTVTV AichiTokyo MXBS11,24m,"Jun. 29, 2014",Animacion,9.3,46
Ergo proxy,"Jul. 15, 2013",TV Tokyo,4m,"Sep. 21, 2018",Animacion,8.4,17
Digimon Savers (Digimon Data Squad) (2006),"Jul. 03, 2013",,24m,"Sep. 25, 2013",Animacion,8.6,39
La granja,"Jul. 06, 2010",Nickelodeon,25m,"Mar. 25, 2012",Action & Adventure,9.1,12
Drama Total: Isla del drama,"May. 25, 2013",Nickelodeon,11m,"May. 17, 2015",Animacion,8.2,58
Toradora!,"Dec. 02, 2013",Adult Swim,22m,"Apr. 08, 2017",Animacion,9.6,"1,592"
Masha y el Oso,"Nov. 09, 2013",Disney XD,22m,"Dec. 02, 2018",Action & Adventure,9.4,198
Gintama,"Oct. 04, 2013",TBS,24m,"Sep. 03, 2014",Action & Adventure,9.1,21
School Days,"Sep. 02, 2013",Cartoon Network,11m,"Jun. 30, 2017",Animacion,9,9
Super Once (Inazuma Eleven),"Jul. 11, 2014",Fuji Television,22m,"Sep. 26, 2014",Animacion,8.8,24
Clannad,"Apr. 08, 2014",TV Tokyo,25m,"Jun. 24, 2014",Action & Adventure,7.1,11
Hot Wheels Battle Force 5,"Apr. 09, 2014",AT-X,25m,"Jun. 25, 2014",Action & Adventure,9.7,35
Soul Eater,"Jul. 03, 2014",HuluFunimation Channel,22m,"Mar. 27, 2015",Action & Adventure,9.6,"1,111"
Dragon Ball Kai,"Apr. 14, 2014",Cartoon Network,11m,"Apr. 28, 2018",Amigos,8.9,109
Ugly Americans,"Sep. 21, 2014",Adult Swim,15m,"Mar. 25, 2018",Animacion,8.9,83
Bajoterra / Slugterra,"Oct. 12, 2014",Tokyo MXBS11Niconico,24m,"Jun. 27, 2015",Action & Adventure,9.1,13
"Drama Total: Luz, Drama, Acción","Nov. 03, 2014",Cartoon Network,11m,"Nov. 07, 2014",Animacion,9.9,192
Fairy Tail,"Nov. 08, 2014",Cartoon NetworkBoomerang,11m,"Nov. 11, 2017",Action & Adventure,9.1,87
Slap Up Party: Arad Senki,"Apr. 11, 2014",MBS TV,24m,"Jun. 27, 2015",Action & Adventure,9.3,14
La espada sagrada,"Apr. 23, 2010",Cartoon Network,30m,"Mar. 31, 2012",Action & Adventure,9.6,191
Guerreros Valientes,"Apr. 23, 2010",Cartoon Network,30m,"Mar. 22, 2012",Action & Adventure,9.6,173
Max Steel 2013,"Jul. 05, 2010",TV Tokyo,25m,"Sep. 20, 2010",Action & Adventure,9.2,110
Psycho-Pass,"Jan. 10, 2015",Nippon TV,25m,"Mar. 28, 2015",Animacion,9.8,24
Guilty Crown,"Apr. 03, 2015",Mainichi Broadcasting System,24m,"Sep. 24, 2016",Animacion,9.6,72
Teen Titans Go!,"Apr. 04, 2015",Tokyo Metropolitan Television,24m,"Dec. 26, 2015",Animacion,9.5,89
Cuidado con Batman,"Oct. 10, 2014",Fuji TV,22m,"Mar. 20, 2015",Animacion,9.8,35
Love Live! School Idol Project,"Sep. 09, 2016",,23m,"Sep. 09, 2017",Animacion,9.5,74
Yami Shibai,"Sep. 17, 2010",Cartoon Network,23m,"Feb. 02, 2011",Action & Adventure,9.6,91
Free!,"Jul. 09, 2016",TBSBS-TBSMBS,24m,"Oct. 01, 2016",Animacion,8.8,30
Digimon Fusion / Xros Wars (Digimon Hunters),"Oct. 02, 2010",Nickelodeon,11m,"Aug. 04, 2014",Action & Adventure,9.4,13
Yo-Kai Watch,"Nov. 26, 2010",Hub Network,21m,"Jul. 26, 2013",Action & Adventure,8.4,14
Sanjay y Craig,"Apr. 03, 2010",Tulip Television,24m,"Jun. 25, 2010",Action & Adventure,8.6,37
Rick y Morty,"Jan. 10, 2015",Fuji TV,24m,"Jul. 01, 2016",Action & Adventure,9.5,97
Los Vengadores unidos,"Mar. 28, 2011",,68m,"Apr. 20, 2011",Accion,7.5,15
Kill La Kill,"Jul. 11, 2016",Tokyo Metropolitan Television,24m,"Sep. 27, 2016",Action & Adventure,9.7,38
Tío Grandpa,"Apr. 17, 2011",TBS,24m,"Mar. 24, 2017",Animacion,9.5,71
Zankyou no Terror,"Sep. 19, 2011",Nickelodeon,23m,"Jun. 13, 2016",Action & Adventure,9.1,120
Soul Eater Not!,"Jul. 29, 2011",Cartoon Network,30m,"Jun. 16, 2012",Action & Adventure,8.9,87
